tweet_id,favorites,retweets
860184849394610176,14955,5103
860177593139703809,0,26603
859924526012018688,17568,3573
859851578198683649,13946,3058
859607811541651456,16789,1359
859196978902773760,80291,26172
859074603037188101,30330,11918
858860390427611136,0,7047
858843525470990336,14089,3018
858471635011153920,19417,4241
858107933456039936,14187,2532
857989990357356544,14449,2259
857746408056729600,30702,9311
857393404942143489,5290,1437
857263160327368704,18204,3959
857214891891077121,203,16
857062103051644929,0,146
857029823797047296,17001,3471
856543823941562368,14786,2534
856526610513747968,10791,1651
856288084350160898,489,15
856282028240666624,25164,5564
855862651834028034,302,21
855860136149123072,4395,849
855857698524602368,10833,1853
855851453814013952,41806,16076
855818117272018944,24215,4797
855459453768019968,27021,7281
855245323840757760,0,5245
855138241867124737,0,36
854732716440526848,20621,5325
854482394044301312,26489,6000
854365224396361728,17149,4132
854120357044912130,29149,6569
854010172552949760,14795,2784
853760880890318849,26007,5103
853639147608842240,31444,8834
853299958564483072,14126,3160
852936405516943360,0,1782
852912242202992640,8227,1590
852672615818899456,13609,1903
852553447878664193,14850,3099
852311364735569921,30267,8837
852226086759018497,18299,6071
852189679701164033,10553,1414
851591660324737024,14919,3118
851464819735769094,22219,6290
851224888060895234,18985,5157
850753642995093505,28057,8051
850380195714523136,12046,2325
850333567704068097,3184,301
850145622816686080,15005,3385
850019790995546112,18727,4354
849776966551130114,27853,6795
849668094696017920,0,4432
849412302885593088,14641,2821
849336543269576704,10530,1683
849051919805034497,38910,7603
848690551926992896,23221,3913
848324959059550208,22769,4141
848213670039564288,7526,644
848212111729840128,14997,2711
847978865427394560,0,2912
847971574464610304,0,394
847962785489326080,21690,4559
847842811428974592,5002,1186
847617282490613760,6455,376
847606175596138505,17312,3075
847251039262605312,18919,3907
847157206088847362,18331,5242
847116187444137987,19829,2869
846874817362120707,18580,3541
846514051647705089,41073,10343
846505985330044928,13033,2752
846153765933735936,29019,8146
846139713627017216,28735,9141
846042936437604353,14771,2581
845812042753855489,26948,7842
845677943972139009,23389,4371
845397057150107648,7072,1616
845306882940190720,21562,4844
845098359547420673,0,6923
844979544864018432,12648,2306
844973813909606400,13903,2840
844580511645339650,15260,2806
844223788422217728,12669,1985
843981021012017153,14076,2696
843856843873095681,19911,4160
843604394117681152,15657,2475
843235543001513987,19917,5384
842846295480000512,14185,3310
842765311967449089,6279,1175
842535590457499648,16873,3165
842163532590374912,22679,5245
842115215311396866,13003,2754
841833993020538882,0,13527
841680585030541313,23986,7138
841439858740625411,11700,3305
841320156043304961,18379,5008
841314665196081154,14711,4221
841077006473256960,21297,4877
840761248237133825,0,1618
840728873075638272,0,14562
840698636975636481,163,2
840696689258311684,11453,889
840632337062862849,8405,1618
840370681858686976,15308,4170
840268004936019968,17844,5204
839990271299457024,12503,2063
839549326359670784,25515,7047
839290600511926273,0,132
839239871831150596,25178,5917
838952994649550848,18331,3655
838921590096166913,10394,1852
838916489579200512,0,31
838831947270979586,0,9997
838561493054533637,10222,1229
838476387338051585,20930,4331
838201503651401729,0,9155
838150277551247360,1565,301
838085839343206401,134,1
838083903487373313,16427,2831
837820167694528512,31761,7132
837482249356513284,3596,405
837471256429613056,11962,2058
837110210464448512,15047,2173
836989968035819520,11922,2107
836753516572119041,18083,4254
836677758902222849,11821,2019
836648853927522308,0,506
836397794269200385,0,25006
836380477523124226,13878,2744
836260088725786625,19911,3972
836001077879255040,17855,3878
835685285446955009,0,7400
835574547218894849,16608,3291
835536468978302976,0,1539
835309094223372289,0,19102
835297930240217089,15399,2733
835264098648616962,7214,1539
835246439529840640,1987,63
835172783151792128,24510,5284
835152434251116546,20900,2755
834931633769889797,10076,1486
834786237630337024,20174,5102
834574053763584002,12784,2304
834477809192075265,0,9741
834458053273591808,9014,1543
834209720923721728,19200,4316
834167344700198914,14808,3353
834089966724603904,9427,1960
